Stage;TrainRatio;TestRatio;Metric;K;FeatureCount;Features;RowType;Class;SelectionScore;Accuracy;Precision;Recall;F1;DurationMs
BEST_FINAL;0.60;0.40;Manhattan;004;09;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.578275;0.822020;0.395349;0.153614;0.221258;23729
BEST_FINAL;0.60;0.40;Manhattan;004;09;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.578275;0.822020;0.442308;0.214953;0.289308;23729
BEST_FINAL;0.60;0.40;Manhattan;004;09;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.578275;0.822020;0.362500;0.349398;0.355828;23729
BEST_FINAL;0.60;0.40;Manhattan;004;09;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.578275;0.822020;0.606618;0.498489;0.547264;23729
BEST_FINAL;0.60;0.40;Manhattan;004;09;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.578275;0.822020;0.872331;0.947588;0.908404;23729
BEST_FINAL;0.60;0.40;Manhattan;004;09;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.578275;0.822020;0.462500;0.286822;0.354067;23729
BEST_FINAL;0.60;0.40;Manhattan;004;09;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.578275;0.822020;0.523601;0.408477;0.446021;23729
