Stage;TrainRatio;TestRatio;Metric;K;FeatureCount;Features;RowType;Class;SelectionScore;Accuracy;Precision;Recall;F1;DurationMs
STAGE_2_SPLIT;0.30;0.70;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.538579;0.809225;0.324818;0.274691;0.297659;14231
STAGE_2_SPLIT;0.30;0.70;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.538579;0.809225;0.539961;0.452614;0.492444;14231
STAGE_2_SPLIT;0.30;0.70;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.538579;0.809225;0.860293;0.946288;0.901244;14231
STAGE_2_SPLIT;0.30;0.70;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.538579;0.809225;0.420690;0.274775;0.332425;14231
STAGE_2_SPLIT;0.30;0.70;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.538579;0.809225;0.486539;0.370308;0.403596;14231
STAGE_2_SPLIT;0.40;0.60;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.552965;0.813019;0.389610;0.121457;0.185185;15773
STAGE_2_SPLIT;0.40;0.60;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.552965;0.813019;0.408451;0.197279;0.266055;15773
STAGE_2_SPLIT;0.40;0.60;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.552965;0.813019;0.344978;0.287273;0.313492;15773
STAGE_2_SPLIT;0.40;0.60;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.552965;0.813019;0.539326;0.472441;0.503673;15773
STAGE_2_SPLIT;0.40;0.60;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.552965;0.813019;0.865275;0.945401;0.903565;15773
STAGE_2_SPLIT;0.40;0.60;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.552965;0.813019;0.442623;0.278351;0.341772;15773
STAGE_2_SPLIT;0.40;0.60;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.552965;0.813019;0.498377;0.383700;0.418957;15773
STAGE_2_SPLIT;0.50;0.50;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.566017;0.819372;0.393939;0.124402;0.189091;16190
STAGE_2_SPLIT;0.50;0.50;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.566017;0.819372;0.400000;0.208000;0.273684;16190
